issue_type	status	page	fragment	xml_id	line	current	evidence	proposed_action	note
hyphenation	needs-image-review	383	b23982500_0002_0391.xml	-	-	no|men	2	set lb@break='no' only when the page-local split is unique	ambiguous
hyphenation	needs-image-review	383	b23982500_0002_0391.xml	-	-	no|men	2	set lb@break='no' only when the page-local split is unique	ambiguous
hyphenation	needs-review	388	b23982500_0002_0396.xml	-	-	eva|cuatio	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	394	b23982500_0002_0402.xml	-	-	descri|Lib	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	399	b23982500_0002_0407.xml	-	-	ap|pellamus	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	408	b23982500_0002_0416.xml	-	-	composi|Athen	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	411	b23982500_0002_0419.xml	-	-	σε|βένιον	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	415	b23982500_0002_0423.xml	-	-	De|lil	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	416	b23982500_0002_0424.xml	-	-	Arbri|Geopon	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	417	b23982500_0002_0425.xml	-	-	nomi|Caesalpinus	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	420	b23982500_0002_0428.xml	-	-	Ara|Sibth	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	420	b23982500_0002_0428.xml	-	-	gigni|tur	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-image-review	427	b23982500_0002_0435.xml	-	-	lacu|bus	2	set lb@break='no' only when the page-local split is unique	ambiguous
hyphenation	needs-image-review	427	b23982500_0002_0435.xml	-	-	lacu|bus	2	set lb@break='no' only when the page-local split is unique	ambiguous
hyphenation	needs-review	428	b23982500_0002_0436.xml	-	-	Pe|Homon	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-image-review	429	b23982500_0002_0437.xml	-	-	Ni|cander	2	set lb@break='no' only when the page-local split is unique	ambiguous
hyphenation	needs-image-review	429	b23982500_0002_0437.xml	-	-	Ni|cander	2	set lb@break='no' only when the page-local split is unique	ambiguous
hyphenation	needs-image-review	430	b23982500_0002_0438.xml	-	-	mor|sum	2	set lb@break='no' only when the page-local split is unique	ambiguous
hyphenation	needs-image-review	430	b23982500_0002_0438.xml	-	-	mor|sum	2	set lb@break='no' only when the page-local split is unique	ambiguous
hyphenation	needs-review	431	b23982500_0002_0439.xml	-	-	sub|De	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	433	b23982500_0002_0441.xml	-	-	sen|a	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	434	b23982500_0002_0442.xml	-	-	no|Hist	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	439	b23982500_0002_0445.xml	-	-	peculia|rem	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	447	b23982500_0002_0453.xml	-	-	So|lymorum	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	448	b23982500_0002_0454.xml	-	-	εἶ|ναι	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	450	b23982500_0002_0456.xml	-	-	Co|lor	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-image-review	453	b23982500_0002_0459.xml	-	-	Bam|busae	2	set lb@break='no' only when the page-local split is unique	ambiguous
hyphenation	needs-image-review	453	b23982500_0002_0459.xml	-	-	Bam|busae	2	set lb@break='no' only when the page-local split is unique	ambiguous
hyphenation	needs-review	455	b23982500_0002_0461.xml	-	-	po|Lennep	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-image-review	456	b23982500_0002_0462.xml	-	-	Theo|phrasti	2	set lb@break='no' only when the page-local split is unique	ambiguous
hyphenation	needs-image-review	456	b23982500_0002_0462.xml	-	-	Theo|phrasti	2	set lb@break='no' only when the page-local split is unique	ambiguous
hyphenation	needs-review	458	b23982500_0002_0464.xml	-	-	Hesio|Lib	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	469	b23982500_0002_0475.xml	-	-	no|stra	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	469	b23982500_0002_0475.xml	-	-	nomi|ne	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	469	b23982500_0002_0475.xml	-	-	no|men	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	472	b23982500_0002_0478.xml	-	-	γερά|νειον	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	474	b23982500_0002_0480.xml	-	-	ξηρό|τητα	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	490	b23982500_0002_0496.xml	-	-	se|ptem	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	500	b23982500_0002_0506.xml	-	-	Ono|Lib	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	502	b23982500_0002_0508.xml	-	-	σίσσε|ρος	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	502	b23982500_0002_0508.xml	-	-	coerule|Etym	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	505	b23982500_0002_0511.xml	-	-	con|De	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-image-review	506	b23982500_0002_0512.xml	-	-	Ae|gypto	2	set lb@break='no' only when the page-local split is unique	ambiguous
hyphenation	needs-image-review	506	b23982500_0002_0512.xml	-	-	Ae|gypto	2	set lb@break='no' only when the page-local split is unique	ambiguous
hyphenation	needs-review	508	b23982500_0002_0514.xml	-	-	magno|pere	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	520	b23982500_0002_0526.xml	-	-	le|git	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	522	b23982500_0002_0528.xml	-	-	Tabernaemon|Ies	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	522	b23982500_0002_0528.xml	-	-	Grae|cos	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	530	b23982500_0002_0536.xml	-	-	Ge|nov	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	532	b23982500_0002_0538.xml	-	-	πα|νάκους	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	535	b23982500_0002_0541.xml	-	-	ou|vrage	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	535	b23982500_0002_0541.xml	-	-	Me|lun	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	540	b23982500_0002_0546.xml	-	-	Caesalpi|nus	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	544	b23982500_0002_0550.xml	-	-	Gale|nus	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	547	b23982500_0002_0553.xml	-	-	peuce|Hist	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	549	b23982500_0002_0555.xml	-	-	gra|Rar	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	556	b23982500_0002_0562.xml	-	-	audie|Hist	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	559	b23982500_0002_0565.xml	-	-	παρ|L	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	562	b23982500_0002_0568.xml	-	-	sin|Paull	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	565	b23982500_0002_0571.xml	-	-	re|Dalech	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-image-review	567	b23982500_0002_0573.xml	-	-	Hyperi|cum	2	set lb@break='no' only when the page-local split is unique	ambiguous
hyphenation	needs-image-review	567	b23982500_0002_0573.xml	-	-	Hyperi|cum	2	set lb@break='no' only when the page-local split is unique	ambiguous
hyphenation	needs-review	571	b23982500_0002_0577.xml	-	-	ne|Plin	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	573	b23982500_0002_0579.xml	-	-	libra|L	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	576	b23982500_0002_0582.xml	-	-	etymo|logia	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-image-review	581	b23982500_0002_0587.xml	-	-	nomi|ne	2	set lb@break='no' only when the page-local split is unique	ambiguous
hyphenation	needs-image-review	581	b23982500_0002_0587.xml	-	-	nomi|ne	2	set lb@break='no' only when the page-local split is unique	ambiguous
hyphenation	needs-review	593	b23982500_0002_0599.xml	-	-	πέφυ|καν	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	593	b23982500_0002_0599.xml	-	-	pro|vinciali	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	594	b23982500_0002_0600.xml	-	-	ἄν|θει	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	594	b23982500_0002_0600.xml	-	-	appel|latur	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	597	b23982500_0002_0603.xml	-	-	ob|L	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-image-review	601	b23982500_0002_0607.xml	-	-	Bo|chartus	2	set lb@break='no' only when the page-local split is unique	ambiguous
hyphenation	needs-image-review	601	b23982500_0002_0607.xml	-	-	Bo|chartus	2	set lb@break='no' only when the page-local split is unique	ambiguous
hyphenation	needs-image-review	604	b23982500_0002_0610.xml	-	-	ne|que	2	set lb@break='no' only when the page-local split is unique	ambiguous
hyphenation	needs-image-review	604	b23982500_0002_0610.xml	-	-	ne|que	2	set lb@break='no' only when the page-local split is unique	ambiguous
hyphenation	needs-review	604	b23982500_0002_0610.xml	-	-	alexi|pharmacorum	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	611	b23982500_0002_0617.xml	-	-	κα|κὸν	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	611	b23982500_0002_0617.xml	-	-	ἀπο|θνήσκειν	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	616	b23982500_0002_0622.xml	-	-	Ul|Hort	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	618	b23982500_0002_0624.xml	-	-	Κα|ταχρίσας	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	626	b23982500_0002_0632.xml	-	-	Clu|Georg	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	642	b23982500_0002_0648.xml	-	-	caecu|Pon	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	647	b23982500_0002_0653.xml	-	-	Si|Lib	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	650	b23982500_0002_0656.xml	-	-	Bran|des	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	659	b23982500_0002_0665.xml	-	-	Dres|den	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-review	659	b23982500_0002_0665.xml	-	-	Cosch|witz	0	set lb@break='no' only when the page-local split is unique	unmatched
hyphenation	needs-image-review	666	b23982500_0002_0672.xml	-	-	lo|cum	2	set lb@break='no' only when the page-local split is unique	ambiguous
hyphenation	needs-image-review	666	b23982500_0002_0672.xml	-	-	lo|cum	2	set lb@break='no' only when the page-local split is unique	ambiguous
paragraph	needs-review	357	b23982500_0002_0365.xml	-	3	Brownio.31	latin-cue-after-terminal	split only when fragment paragraph start maps uniquely to a body line	unmatched
paragraph	needs-review	560	b23982500_0002_0566.xml	-	30	Errarunt, qui cum Trago⁴ Anthemida tinctoriam	latin-cue-after-terminal	split only when fragment paragraph start maps uniquely to a body line	unmatched
paragraph	needs-review	602	b23982500_0002_0608.xml	-	7	Aesculapii.⁶ Dicitur autem hortensis strychnos, non quia colitur	latin-cue-after-terminal	split only when fragment paragraph start maps uniquely to a body line	unmatched
paragraph	needs-review	629	b23982500_0002_0635.xml	-	9	Cap. CXXV. Cum Plinius⁴⁰ chamaepeuci folia tri	chapter-heading	split only when fragment paragraph start maps uniquely to a body line	unmatched
paragraph	needs-review	629	b23982500_0002_0635.xml	-	13	Cordus⁴¹ Lycopodium clavatum, Anguillara Camfo	latin-cue-after-terminal	split only when fragment paragraph start maps uniquely to a body line	unmatched
