book,lang,source_order,page_n,facs,line_id,source_div_n,source_xml_id,printed_primary,printed_alternate,heading_label,source_heading_text,generated_n,generated_label,generated_source_label,visible_chapter_title,paired_generated_n,issue_codes,image_url,canonical_n,display_label,source_label_policy,decision_note
1,la,1019,109,page_images/page-0141.png,spr-lb-1-0141-15,,,CX,CXIII,De Populo nigra.,Cap. CX. (CXIII.) [De Populo nigra.] Populi ni-,1.110,De Populo nigra,Cap. CX. (CXIII.) [De Populo nigra.],,1.110,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0141.jp2/full/1200,/0/default.jpg",,,,
1,grc,111,110,page_images/page-0142.png,spr-lb-1-0142-07,109,spr-ch-1.109,ρια,ρι΄,Περὶ Μάκερος.,Κεφ. ρια΄ (ρι΄). [Περὶ Μάκερος.] Μάκερ φλοιός ἐστι,1.111,Περὶ Μάκερος,Κεφ. ρια΄ (ρι΄). [Περὶ Μάκερος.],,1.111,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0142.jp2/full/1200,/0/default.jpg",,,,
1,grc,112,110,page_images/page-0142.png,spr-lb-1-0142-11,109,spr-ch-1.109,ριβ,ρια΄,Περὶ Πτελέας.,Κεφ. ριβ΄ (ρια΄). [Περὶ Πτελέας.] [58] Πτελέας τὰ φύλλα,1.112,Περὶ Πτελέας,Κεφ. ριβ΄ (ρια΄). [Περὶ Πτελέας.],,1.112,LABEL_HAS_NOTE_LEAK;PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0142.jp2/full/1200,/0/default.jpg",,,,
1,la,1020,110,page_images/page-0142.png,,,,CXI,CX,De Macere.,Cap. CXI. (CX.) [De Macere.] Macer cortex est,1.111,De Macere,Cap. CXI. (CX.) [De Macere.],,1.111,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0142.jp2/full/1200,/0/default.jpg",,,,
1,la,1021,110,page_images/page-0142.png,,,,CXII,CXI,De Ulmo.,Cap. CXII. (CXI.) [De Ulmo.] Ulmi et folia et,1.112,De Ulmo,Cap. CXII. (CXI.) [De Ulmo.],,1.112,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0142.jp2/full/1200,/0/default.jpg",,,,
1,grc,113,111,page_images/page-0143.png,spr-lb-1-0143-06,109,spr-ch-1.109,ριγ,ριβ΄,Περὶ σαπρότητος ξύλων.,Κεφ. ριγ΄ (ριβ΄). [Περὶ σαπρότητος ξύλων.] Ἡ δὲ ἀπὸ,1.113,Περὶ σαπρότητος ξύλων,Κεφ. ριγ΄ (ριβ΄). [Περὶ σαπρότητος ξύλων.],,1.113,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0143.jp2/full/1200,/0/default.jpg",,,,
1,grc,114,111,page_images/page-0143.png,,114,spr-ch-1.110,ριδ,,Περὶ Καλάμων.,Κεφ. ριδ΄. [Περὶ Καλάμων.],1.114,Περὶ Καλάμων,Κεφ. ριδ΄. [Περὶ Καλάμων.],Κεφ. ριδ΄. [Περὶ Καλάμων.],1.114,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0143.jp2/full/1200,/0/default.jpg",,,,
1,la,1022,111,page_images/page-0143.png,,,,CXIII,CXII,De carie lignorum.,Cap. CXIII. (CXII.) [De carie lignorum.] Quae,1.113,De carie lignorum,Cap. CXIII. (CXII.) [De carie lignorum.],,1.113,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0143.jp2/full/1200,/0/default.jpg",,,,
1,grc,115,112,page_images/page-0144.png,,115,spr-ch-1.111,ριε,,Περὶ Παπύρου.,Κεφ. ριε΄. [Περὶ Παπύρου.],1.115,Περὶ Παπύρου,Κεφ. ριε΄. [Περὶ Παπύρου.],Κεφ. ριε΄. [Περὶ Παπύρου.],1.115,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0144.jp2/full/1200,/0/default.jpg",,,,
1,grc,116,113,page_images/page-0145.png,,112,spr-ch-1.112,ρις,,Περὶ Μυρίκης.,Κεφ. ρις΄. [Περὶ Μυρίκης.],1.116,Περὶ Μυρίκης,Κεφ. ρις΄. [Περὶ Μυρίκης.],Κεφ. ρις΄. [Περὶ Μυρίκης.],1.116,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0145.jp2/full/1200,/0/default.jpg",,,,
1,grc,117,114,page_images/page-0146.png,,117,spr-ch-1.113,ριζ,,Περὶ Ἐρείκης.,Κεφ. ριζ΄. [Περὶ Ἐρείκης.],1.117,Περὶ Ἐρείκης,Κεφ. ριζ΄. [Περὶ Ἐρείκης.],Κεφ. ριζ΄. [Περὶ Ἐρείκης.],1.117,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0146.jp2/full/1200,/0/default.jpg",,,,
1,grc,118,114,page_images/page-0146.png,,118,spr-ch-1.114,ριη,,Περὶ Ἀκακαλίδος.,Κεφ. ριη΄. [Περὶ Ἀκακαλίδος.],1.118,Περὶ Ἀκακαλίδος,Κεφ. ριη΄. [Περὶ Ἀκακαλίδος.],Κεφ. ριη΄. [Περὶ Ἀκακαλίδος.],1.118,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0146.jp2/full/1200,/0/default.jpg",,,,
1,grc,119,114,page_images/page-0146.png,,119,spr-ch-1.115,ριθ,,Περὶ Ῥάμνου.,Κεφ. ριθ΄. [Περὶ Ῥάμνου.],1.119,Περὶ Ῥάμνου,Κεφ. ριθ΄. [Περὶ Ῥάμνου.],Κεφ. ριθ΄. [Περὶ Ῥάμνου.],1.119,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0146.jp2/full/1200,/0/default.jpg",,,,
1,grc,120,115,page_images/page-0147.png,,120,spr-ch-1.116,ρκ,,Περὶ Ἁλίμου.,Κεφ. ρκ΄. [Περὶ Ἁλίμου.],1.120,Περὶ Ἁλίμου,Κεφ. ρκ΄. [Περὶ Ἁλίμου.],Κεφ. ρκ΄. [Περὶ Ἁλίμου.],1.120,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0147.jp2/full/1200,/0/default.jpg",,,,
1,grc,121,116,page_images/page-0148.png,,121,spr-ch-1.117,ρκα,,Περὶ Παλιούρου.,Κεφ. ρκα΄. [Περὶ Παλιούρου.],1.121,Περὶ Παλιούρου,Κεφ. ρκα΄. [Περὶ Παλιούρου.],Κεφ. ρκα΄. [Περὶ Παλιούρου.],1.121,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0148.jp2/full/1200,/0/default.jpg",,,,
1,grc,122,116,page_images/page-0148.png,,122,spr-ch-1.118,ρκβ,,Περὶ Ὀξυακάνθης.,Κεφ. ρκβ΄. [Περὶ Ὀξυακάνθης.],1.122,Περὶ Ὀξυακάνθης,Κεφ. ρκβ΄. [Περὶ Ὀξυακάνθης.],Κεφ. ρκβ΄. [Περὶ Ὀξυακάνθης.],1.122,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0148.jp2/full/1200,/0/default.jpg",,,,
1,grc,123,117,page_images/page-0149.png,,123,spr-ch-1.119,ρκγ,,Περὶ Κυνοσβάτου.,Κεφ. ρκγ΄. [Περὶ Κυνοσβάτου.],1.123,Περὶ Κυνοσβάτου,Κεφ. ρκγ΄. [Περὶ Κυνοσβάτου.],Κεφ. ρκγ΄. [Περὶ Κυνοσβάτου.],1.123,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0149.jp2/full/1200,/0/default.jpg",,,,
1,grc,124,117,page_images/page-0149.png,,124,spr-ch-1.120,ρκδ,,Περὶ Κύπρου.,Κεφ. ρκδ΄. [Περὶ Κύπρου.],1.124,Περὶ Κύπρου,Κεφ. ρκδ΄. [Περὶ Κύπρου.],Κεφ. ρκδ΄. [Περὶ Κύπρου.],1.124,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0149.jp2/full/1200,/0/default.jpg",,,,
1,grc,125,118,page_images/page-0150.png,,125,spr-ch-1.121,ρκε,,Περὶ Φιλλυρέας.,Κεφ. ρκε΄. [Περὶ Φιλλυρέας.],1.125,Περὶ Φιλλυρέας,Κεφ. ρκε΄. [Περὶ Φιλλυρέας.],Κεφ. ρκε΄. [Περὶ Φιλλυρέας.],1.125,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0150.jp2/full/1200,/0/default.jpg",,,,
1,grc,126,119,page_images/page-0151.png,,126,spr-ch-1.122,ρκϛ,,Περὶ Κίστου.,Κεφ. ρκϛ΄. [Περὶ Κίστου.],1.126,Περὶ Κίστου,Κεφ. ρκϛ΄. [Περὶ Κίστου.],Κεφ. ρκϛ΄. [Περὶ Κίστου.],1.126,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0151.jp2/full/1200,/0/default.jpg",,,,
1,grc,127,119,page_images/page-0151.png,,127,spr-ch-1.123,ρκζ,,Περὶ Ὑποκιστίδος.,Κεφ. ρκζ΄. [Περὶ Ὑποκιστίδος.],1.127,Περὶ Ὑποκιστίδος,Κεφ. ρκζ΄. [Περὶ Ὑποκιστίδος.],Κεφ. ρκζ΄. [Περὶ Ὑποκιστίδος.],1.127,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0151.jp2/full/1200,/0/default.jpg",,,,
1,grc,128,120,page_images/page-0152.png,,128,spr-ch-1.124,ρκη,,Περὶ Λαδάνου.,Κεφ. ρκη΄. [Περὶ Λαδάνου.],1.128,Περὶ Λαδάνου,Κεφ. ρκη΄. [Περὶ Λαδάνου.],Κεφ. ρκη΄. [Περὶ Λαδάνου.],1.128,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0152.jp2/full/1200,/0/default.jpg",,,,
1,grc,129,121,page_images/page-0153.png,,129,spr-ch-1.125,ρκθ,,Περὶ Ἐβένου.,Κεφ. ρκθ΄. [Περὶ Ἐβένου.],1.129,Περὶ Ἐβένου,Κεφ. ρκθ΄. [Περὶ Ἐβένου.],Κεφ. ρκθ΄. [Περὶ Ἐβένου.],1.129,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0153.jp2/full/1200,/0/default.jpg",,,,
1,grc,130,123,page_images/page-0155.png,spr-lb-1-0155-01,130,spr-ch-1.126,ρλ,,Περὶ Ῥόδων.,Κεφ. ρλ΄. [Περὶ Ῥόδων.],1.130,Περὶ Ῥόδων,Κεφ. ρλ΄. [Περὶ Ῥόδων.],Κεφ. ρλ΄. [Περὶ Ῥόδων.],1.130,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0155.jp2/full/1200,/0/default.jpg",,,,
1,grc,131,124,page_images/page-0156.png,,131,spr-ch-1.127,ρλα,,Περὶ Ῥοδίδων.,Κεφ. ρλα΄. [Περὶ Ῥοδίδων.],1.131,Περὶ Ῥοδίδων,Κεφ. ρλα΄. [Περὶ Ῥοδίδων.],Κεφ. ρλα΄. [Περὶ Ῥοδίδων.],1.131,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0156.jp2/full/1200,/0/default.jpg",,,,
1,grc,132,125,page_images/page-0157.png,,132,spr-ch-1.128,ρλβ,,Περὶ Λυκίου.,Κεφ. ρλβ΄. [Περὶ Λυκίου.],1.132,Περὶ Λυκίου,Κεφ. ρλβ΄. [Περὶ Λυκίου.],Κεφ. ρλβ΄. [Περὶ Λυκίου.],1.132,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0157.jp2/full/1200,/0/default.jpg",,,,
1,grc,133,127,page_images/page-0159.png,,133,spr-ch-1.129,ρλγ,,Περὶ Ἀκακίας.,Κεφ. ρλγ΄. [Περὶ Ἀκακίας.],1.133,Περὶ Ἀκακίας,Κεφ. ρλγ΄. [Περὶ Ἀκακίας.],Κεφ. ρλγ΄. [Περὶ Ἀκακίας.],1.133,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0159.jp2/full/1200,/0/default.jpg",,,,
1,grc,134,129,page_images/page-0161.png,spr-lb-1-0161-05,133,spr-ch-1.129,ρλδ,ρλε΄,Περὶ Ἄγνου.,Κεφ. ρλδ΄ (ρλε΄). [Περὶ Ἄγνου.] Ἄγνος ἢ Λύγος [οἱ,1.134,Περὶ Ἄγνου,Κεφ. ρλδ΄ (ρλε΄). [Περὶ Ἄγνου.],,1.134,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0161.jp2/full/1200,/0/default.jpg",,,,
1,la,1043,129,page_images/page-0161.png,,,,CXXXIV,CXXXV,De Vitice.,"Cap. CXXXIV. (CXXXV.) [De Vitice.] Vitex, sive",1.134,De Vitice,Cap. CXXXIV. (CXXXV.) [De Vitice.],,1.134,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0161.jp2/full/1200,/0/default.jpg",,,,
1,grc,135,130,page_images/page-0162.png,spr-lb-1-0162-18,133,spr-ch-1.129,ρλε,ρλϛ΄,Περὶ Ἰτέας.,Κεφ. ρλε΄ (ρλϛ΄). [Περὶ Ἰτέας.] Ἰτέα δένδρον ἐστὶ,1.135,Περὶ Ἰτέας,Κεφ. ρλε΄ (ρλϛ΄). [Περὶ Ἰτέας.],,1.135,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0162.jp2/full/1200,/0/default.jpg",,,,
1,la,1044,130,page_images/page-0162.png,,,,CXXXV,CXXXVI,De Salice.,Cap. CXXXV. (CXXXVI.) [De Salice.] Salix est,1.135,De Salice,Cap. CXXXV. (CXXXVI.) [De Salice.],,1.135,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0162.jp2/full/1200,/0/default.jpg",,,,
1,grc,136,131,page_images/page-0163.png,spr-lb-1-0163-14,133,spr-ch-1.129,ρλϛ,ρλζ΄,Περὶ Ἀγριελαίας.,"Κεφ. ρλϛ΄ (ρλζ΄). [Περὶ Ἀγριελαίας.] Ἀγριελαία, ἣν",1.136,Περὶ Ἀγριελαίας,Κεφ. ρλϛ΄ (ρλζ΄). [Περὶ Ἀγριελαίας.],,1.136,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0163.jp2/full/1200,/0/default.jpg",,,,
1,la,1045,131,page_images/page-0163.png,,,,CXXXVI,CXXXVII,De Oleastro.,Cap. CXXXVI. (CXXXVII.) [De Oleastro.] Olea-,1.136,De Oleastro,Cap. CXXXVI. (CXXXVII.) [De Oleastro.],,1.136,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0163.jp2/full/1200,/0/default.jpg",,,,
1,grc,137,133,page_images/page-0165.png,spr-lb-1-0165-04,133,spr-ch-1.129,ρλζ,ρλη΄,Περὶ Ἐλαίας.,Κεφ. ρλζ΄ (ρλη΄). [Περὶ Ἐλαίας.] Δύναται δὲ τὰ,1.137,Περὶ Ἐλαίας,Κεφ. ρλζ΄ (ρλη΄). [Περὶ Ἐλαίας.],,1.137,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0165.jp2/full/1200,/0/default.jpg",,,,
1,grc,138,133,page_images/page-0165.png,spr-lb-1-0165-12,133,spr-ch-1.129,ρλη,ρλθ΄,Περὶ κολυμβάδων ἐλαιῶν.,Κεφ. ρλη΄ (ρλθ΄). [Περὶ κολυμβάδων ἐλαιῶν.] Ἐλαῖαι,1.138,Περὶ κολυμβάδων ἐλαιῶν,Κεφ. ρλη΄ (ρλθ΄). [Περὶ κολυμβάδων ἐλαιῶν.],,1.138,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0165.jp2/full/1200,/0/default.jpg",,,,
1,la,1046,133,page_images/page-0165.png,,,,CXXXVII,CXXXVIII,De Olea.,Cap. CXXXVII. (CXXXVIII.) [De Olea.] Iisdem,1.137,De Olea,Cap. CXXXVII. (CXXXVIII.) [De Olea.],,1.137,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0165.jp2/full/1200,/0/default.jpg",,,,
1,la,1047,133,page_images/page-0165.png,,,,CXXXVIII,CXXXIX,De olivis muria con- ditis.,"Cap. CXXXVIII. (CXXXIX.) [De olivis muria con- ditis.] Olivae muria conditae, tritae et ambustis illitae pu-",1.138,De olivis muria con- ditis,Cap. CXXXVIII. (CXXXIX.) [De olivis muria con- ditis.],,1.138,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0165.jp2/full/1200,/0/default.jpg",,,,
1,grc,139,134,page_images/page-0166.png,spr-lb-1-0166-04,133,spr-ch-1.129,ρλθ,ρμ΄,Περὶ ἐλαίου ἀγρίας ἐλαίας.,Κεφ. ρλθ΄ (ρμ΄). [Περὶ ἐλαίου ἀγρίας ἐλαίας.] Τὸ δὲ,1.139,Περὶ ἐλαίου ἀγρίας ἐλαίας,Κεφ. ρλθ΄ (ρμ΄). [Περὶ ἐλαίου ἀγρίας ἐλαίας.],,1.139,PRINTED_SOURCE_CONFLICT,"https://iiif.archive.org/image/iiif/3/b23982500_0001%2Fb23982500_0001_jp2.zip%2Fb23982500_0001_jp2%2Fb23982500_0001_0166.jp2/full/1200,/0/default.jpg",,,,
