page,image_path,separator_bbox,line_index,line_bbox,line_text,emitted_as_body,suggested_previous_page,suggested_previous_note_xml_id,suggested_previous_n,previous_note_tail,candidate_strength,reason
22,ocr/beck2020_fresh/images/beck-0022.png,174 2068 779 2071,37,176 2231 1321 2266,"(Washington, D.C.: Catholic University Press of America, 1980), pp. 1-143.",false,,,,,weak,below footnote rule without a printed note label
34,ocr/beck2020_fresh/images/beck-0034.png,222 1509 1524 1513,24,225 1541 941 1575,"and Vivian Nutton, “The Preface,” pp. 204-205.",false,33,beck-fresh-fn-p0033-scratch-003,4," lists him as one of his sources for N. H., XX-XXVIII and XXXII-XXXV. See John Scarborough",strong,below footnote rule without a printed note label; previous page has an accepted bottom note; previous accepted note lacks terminal punctuation
37,ocr/beck2020_fresh/images/beck-0037.png,104 1957 705 1961,31,109 1982 1407 2026,""" The geographic epithets of irises in medical treatises indicate origins, not different",false,36,beck-fresh-fn-p0036-002,10,Extractions are made either by infusion or decoction.,weak,below footnote rule without a printed note label; previous page has an accepted bottom note
37,ocr/beck2020_fresh/images/beck-0037.png,104 1957 705 1961,32,108 2033 1244 2085,"species, Jacques André, Les noms des plantes dans la Rome antique, p. 133.",false,36,beck-fresh-fn-p0036-002,10,Extractions are made either by infusion or decoction.,weak,below footnote rule without a printed note label; previous page has an accepted bottom note
37,ocr/beck2020_fresh/images/beck-0037.png,104 1957 705 1961,33,109 2068 1407 2105,Τὸ ft is the rhizome of the iris that he uses and it is from the rhizome called orris or,false,36,beck-fresh-fn-p0036-002,10,Extractions are made either by infusion or decoction.,weak,below footnote rule without a printed note label; previous page has an accepted bottom note
37,ocr/beck2020_fresh/images/beck-0037.png,104 1957 705 1961,34,106 2118 1407 2153,"Florentine orris that now extracts are made for the food, cosmetic, wine, and liqueur",false,36,beck-fresh-fn-p0036-002,10,Extractions are made either by infusion or decoction.,weak,below footnote rule without a printed note label; previous page has an accepted bottom note
42,ocr/beck2020_fresh/images/beck-0042.png,219 2165 1524 2168,35,222 2196 913 2231,"Arabia, which is probably the one meant here.",false,41,beck-fresh-fn-p0041-001,23,Oribasius calls it “Sappharetic.” There is a locality called Saphar in southwestern,strong,below footnote rule without a printed note label; previous page has an accepted bottom note; previous accepted note lacks terminal punctuation
47,ocr/beck2020_fresh/images/beck-0047.png,66 2137 666 2141,35,70 2202 1366 2247,"?! Wellmann remarks that this passage in the Saracenus edition of Dioscorides, Lyon,",false,,,,,weak,below footnote rule without a printed note label
47,ocr/beck2020_fresh/images/beck-0047.png,66 2137 666 2141,36,72 2255 1340 2291,"1598, is bracketed as an interpolation and that it stems from the writings of Crateuas.",false,,,,,weak,below footnote rule without a printed note label
49,ocr/beck2020_fresh/images/beck-0049.png,96 2211 1395 2215,35,99 2243 1056 2280,different plant or else Nepal cardamon that was gathered unripe.,false,48,beck-fresh-fn-p0048-scratch-002,33,"d Medicine, pp. 44-47. Here and throughout this translation podagra is translated as gout.",weak,below footnote rule without a printed note label; previous page has an accepted bottom note; continuation begins lowercase
52,ocr/beck2020_fresh/images/beck-0052.png,256 2133 860 2136,33,259 2158 1560 2201,"© See Jacques André, Les noms des plantes dans la Rome antique, p. 28 for a",false,51,beck-fresh-fn-p0051-scratch-002,39,"niflua. See Dsc. Bk. I, 59. It is also used for oil of bitter almonds. See Dsc. Bk. I, 33.",weak,below footnote rule without a printed note label; previous page has an accepted bottom note
52,ocr/beck2020_fresh/images/beck-0052.png,256 2133 860 2136,34,258 2208 1560 2243,"different identification by P. Fournier, R. PH, 24, 1950, pp. 172-178, who says that it",false,51,beck-fresh-fn-p0051-scratch-002,39,"niflua. See Dsc. Bk. I, 59. It is also used for oil of bitter almonds. See Dsc. Bk. I, 33.",weak,below footnote rule without a printed note label; previous page has an accepted bottom note
53,ocr/beck2020_fresh/images/beck-0053.png,103 2177 702 2181,34,104 2199 1402 2245,""" In LSI it is described as fragrant Indian bark, used as a spice, etc., perhaps the same",true,52,beck-fresh-fn-p0052-scratch-001,40,"on by P. Fournier, R. PH, 24, 1950, pp. 172-178, who says that it is a kind of Astragalus.",weak,below footnote rule without a printed note label; previous page has an accepted bottom note
53,ocr/beck2020_fresh/images/beck-0053.png,103 2177 702 2181,35,106 2251 1404 2287,"as λάκαφθον, an aromatic bark, an ingredient of the Egyptian κῦφι, a compound",true,52,beck-fresh-fn-p0052-scratch-001,40,"on by P. Fournier, R. PH, 24, 1950, pp. 172-178, who says that it is a kind of Astragalus.",weak,below footnote rule without a printed note label; previous page has an accepted bottom note
54,ocr/beck2020_fresh/images/beck-0054.png,261 1882 1566 1886,29,264 1915 1567 1950,"incense. Jacques André, Les noms des plantes dans la Rome antique, p. 170, says that",true,,,,,weak,below footnote rule without a printed note label
54,ocr/beck2020_fresh/images/beck-0054.png,261 1882 1566 1886,30,264 1957 1174 1993,"it is a spice of uncertain origin, the product of an Indian tree.",true,,,,,weak,below footnote rule without a printed note label
54,ocr/beck2020_fresh/images/beck-0054.png,261 1882 1566 1886,31,263 1992 1565 2034,"?' Jacques André, ibid. p. 47 says that this is a gum of a poorly identified tree. See",false,,,,,weak,below footnote rule without a printed note label
54,ocr/beck2020_fresh/images/beck-0054.png,261 1882 1566 1886,32,265 2040 1565 2076,"also J. Innes Miller, The Spice Trade of the Roman Empire, 29 B.C. to 641 A.D., pp.",false,,,,,weak,below footnote rule without a printed note label
55,ocr/beck2020_fresh/images/beck-0055.png,95 2128 694 2131,33,96 2152 1391 2197,""" Corycos, a promontory in Cilicia, South Central Turkey. Strabo, Geography, 14.5.5,",false,54,beck-fresh-fn-p0054-scratch-003,43, Egyptian cyphi (16 ingredients) and describes the ritual associated with its preparation.,weak,below footnote rule without a printed note label; previous page has an accepted bottom note
55,ocr/beck2020_fresh/images/beck-0055.png,95 2128 694 2131,34,97 2204 1395 2239,"narrows the site even further and says, that the best saffron grows in the Corycian",false,54,beck-fresh-fn-p0054-scratch-003,43, Egyptian cyphi (16 ingredients) and describes the ritual associated with its preparation.,weak,below footnote rule without a printed note label; previous page has an accepted bottom note
55,ocr/beck2020_fresh/images/beck-0055.png,95 2128 694 2131,35,98 2246 714 2281,"grotto, some twenty stadia from Corycos.",false,54,beck-fresh-fn-p0054-scratch-003,43, Egyptian cyphi (16 ingredients) and describes the ritual associated with its preparation.,weak,below footnote rule without a printed note label; previous page has an accepted bottom note
63,ocr/beck2020_fresh/images/beck-0063.png,55 1928 661 1932,29,67 1953 1360 1997,"* Both oil of mastic, σχίνινον, and mastic oil, μαστίχινον, described in Dsc. Bk. I, 42,",false,,,,,weak,below footnote rule without a printed note label
63,ocr/beck2020_fresh/images/beck-0063.png,55 1928 661 1932,30,68 2001 1361 2037,"below, are products of the mastic tree, Pistacia lentiscus. The former is made from its",false,,,,,weak,below footnote rule without a printed note label
63,ocr/beck2020_fresh/images/beck-0063.png,55 1928 661 1932,31,68 2043 493 2076,"fruit, the latter from its resin.",false,,,,,weak,below footnote rule without a printed note label
65,ocr/beck2020_fresh/images/beck-0065.png,104 2164 719 2168,34,124 2187 1419 2235,» πιτυοκάμπη a stinging and urticating caterpillar of the pinewoods. Its identification,false,,,,,weak,below footnote rule without a printed note label
65,ocr/beck2020_fresh/images/beck-0065.png,104 2164 719 2168,35,122 2238 779 2275,with the processional caterpillar is tentative.,false,,,,,weak,below footnote rule without a printed note label
69,ocr/beck2020_fresh/images/beck-0069.png,145 2152 705 2158,34,110 2175 1406 2222,"a By analogy, the lost words indicated by the dots may have been ἐξελὼν τὰ",false,,,,,weak,below footnote rule without a printed note label
69,ocr/beck2020_fresh/images/beck-0069.png,145 2152 705 2158,35,110 2224 654 2263,"ἀρώματα, “removing the aromatics”.",false,,,,,weak,below footnote rule without a printed note label
71,ocr/beck2020_fresh/images/beck-0071.png,95 2007 1391 2013,33,99 2073 1391 2120,*' This recipe begins with ratios rather than fixed quantities: One part of clarified oil,false,70,beck-fresh-fn-p0070-003,59,Made of butter.,weak,below footnote rule without a printed note label; previous page has an accepted bottom note
71,ocr/beck2020_fresh/images/beck-0071.png,95 2007 1391 2013,34,99 2123 1391 2160,of unripe olives and one and one-half parts of rainwater; the oil is mixed with some,false,70,beck-fresh-fn-p0070-003,59,Made of butter.,weak,below footnote rule without a printed note label; previous page has an accepted bottom note
71,ocr/beck2020_fresh/images/beck-0071.png,95 2007 1391 2013,35,98 2167 1392 2203,"water, reserving some for blending the aromatic. Then very large quantities of dry",false,70,beck-fresh-fn-p0070-003,59,Made of butter.,weak,below footnote rule without a printed note label; previous page has an accepted bottom note
72,ocr/beck2020_fresh/images/beck-0072.png,274 2170 878 2174,35,276 2189 1578 2239,"® See Dsc. Bk. III, 63, where the ingestion of too much coriander seed “dangerously",false,71,beck-fresh-fn-p0071-001,61,"antity of liquid, roughly 3,090 grams, an absurd ratio, as J. Berendes, p. 74, points out.",weak,below footnote rule without a printed note label; previous page has an accepted bottom note
72,ocr/beck2020_fresh/images/beck-0072.png,274 2170 878 2174,36,277 2244 732 2280,disturbs the thinking process.”,false,71,beck-fresh-fn-p0071-001,61,"antity of liquid, roughly 3,090 grams, an absurd ratio, as J. Berendes, p. 74, points out.",weak,below footnote rule without a printed note label; previous page has an accepted bottom note
73,ocr/beck2020_fresh/images/beck-0073.png,88 2082 699 2089,34,105 2149 1398 2195,"** So named after its inventor Megallos. See T. Kock, ed., Comicorum Atticorum",false,72,beck-fresh-fn-p0072-scratch-001,62,here the ingestion of too much coriander seed “dangerously disturbs the thinking process.”,weak,below footnote rule without a printed note label; previous page has an accepted bottom note
73,ocr/beck2020_fresh/images/beck-0073.png,88 2082 699 2089,35,105 2199 1397 2239,"Fragmenta, Ar. Fr. 536, Strait. 33. In Goodyer, The Greek Herbal of Dioscorides, p.",false,72,beck-fresh-fn-p0072-scratch-001,62,here the ingestion of too much coriander seed “dangerously disturbs the thinking process.”,weak,below footnote rule without a printed note label; previous page has an accepted bottom note
75,ocr/beck2020_fresh/images/beck-0075.png,63 2126 658 2130,33,66 2240 555 2280,“smallpox”. See LSJ s.v. ἄνθραξ.,false,74,beck-fresh-fn-p0074-001,65,"Χαλβάνη is the resinous juice of allheal, Ferula galbaniflua.",weak,below footnote rule without a printed note label; previous page has an accepted bottom note
75,ocr/beck2020_fresh/images/beck-0075.png,63 2126 658 2130,34,594 2205 609 2215,I,false,74,beck-fresh-fn-p0074-001,65,"Χαλβάνη is the resinous juice of allheal, Ferula galbaniflua.",weak,below footnote rule without a printed note label; previous page has an accepted bottom note
75,ocr/beck2020_fresh/images/beck-0075.png,63 2126 658 2130,35,612 2204 1359 2239,"carbuncles"", but according to some it means",false,74,beck-fresh-fn-p0074-001,65,"Χαλβάνη is the resinous juice of allheal, Ferula galbaniflua.",weak,below footnote rule without a printed note label; previous page has an accepted bottom note
77,ocr/beck2020_fresh/images/beck-0077.png,104 1986 665 1992,32,74 2009 1364 2057,"™ There are several different readings in the codices for Minaia, e.g. aminnea,",false,76,beck-fresh-fn-p0076-scratch-006,73,“Fine.”,weak,below footnote rule without a printed note label; previous page has an accepted bottom note
77,ocr/beck2020_fresh/images/beck-0077.png,104 1986 665 1992,33,73 2061 1367 2097,"aminea, etc. Minaia draws strength from Galen, XIV, 68 who writes “some call it",false,76,beck-fresh-fn-p0076-scratch-006,73,“Fine.”,weak,below footnote rule without a printed note label; previous page has an accepted bottom note
77,ocr/beck2020_fresh/images/beck-0077.png,104 1986 665 1992,34,73 2099 1365 2141,Minaian from a place throughout which they say the most wonderful [myrrh] is,false,76,beck-fresh-fn-p0076-scratch-006,73,“Fine.”,weak,below footnote rule without a printed note label; previous page has an accepted bottom note
79,ocr/beck2020_fresh/images/beck-0079.png,119 1964 686 1968,31,93 1987 1384 2034,"* See J. Innes Miller, The Spice Trade of the Roman Empire, 29 B.C. to A. D. 641, pp.",false,78,beck-fresh-fn-p0078-scratch-001,79,I. e. worm-like.,weak,below footnote rule without a printed note label; previous page has an accepted bottom note
81,ocr/beck2020_fresh/images/beck-0081.png,98 1739 1380 1744,28,88 1773 1402 1808,"surrounds the brain and spinal chord. This membrane includes the pia mater, -",true,80,beck-fresh-fn-p0080-003,88,"ἀμωμίτης, “like Nepal cardamom.”",weak,below footnote rule without a printed note label; previous page has an accepted bottom note; continuation begins lowercase
81,ocr/beck2020_fresh/images/beck-0081.png,98 1739 1380 1744,29,89 1815 1379 1851,"arachnoid and dura mater. Dsc. uses μῆνιγξιμήνιγγες five times, I, 68, 2. IL, 49, 1, 72,",true,80,beck-fresh-fn-p0080-003,88,"ἀμωμίτης, “like Nepal cardamom.”",weak,below footnote rule without a printed note label; previous page has an accepted bottom note; continuation begins lowercase
83,ocr/beck2020_fresh/images/beck-0083.png,133 1829 659 1838,28,69 1850 339 1892,? See n. 91 above.,false,82,beck-fresh-fn-p0082-001,92, where he says that πίτυς ever since Ennuis and Cato referred to different kinds of pines.,weak,below footnote rule without a printed note label; previous page has an accepted bottom note
83,ocr/beck2020_fresh/images/beck-0083.png,133 1829 659 1838,29,68 1894 273 1934,™ Blue vitriol.,false,82,beck-fresh-fn-p0082-001,92, where he says that πίτυς ever since Ennuis and Cato referred to different kinds of pines.,weak,below footnote rule without a printed note label; previous page has an accepted bottom note
83,ocr/beck2020_fresh/images/beck-0083.png,133 1829 659 1838,30,68 1935 410 1981,® See Dsc. Bk. Ln. 15.,false,82,beck-fresh-fn-p0082-001,92, where he says that πίτυς ever since Ennuis and Cato referred to different kinds of pines.,weak,below footnote rule without a printed note label; previous page has an accepted bottom note
83,ocr/beck2020_fresh/images/beck-0083.png,133 1829 659 1838,31,79 1978 1357 2037,* The “leaves” here are pine needles. There is no word in ancient Greek for pine,true,82,beck-fresh-fn-p0082-001,92, where he says that πίτυς ever since Ennuis and Cato referred to different kinds of pines.,weak,below footnote rule without a printed note label; previous page has an accepted bottom note
85,ocr/beck2020_fresh/images/beck-0085.png,201 2164 720 2168,35,129 2185 862 2245,"- Specifically, the lathrodectus and malmignatte.",false,,,,,weak,below footnote rule without a printed note label
87,ocr/beck2020_fresh/images/beck-0087.png,155 2094 704 2100,33,115 2118 1404 2166,"""' Dioscorides uses several terms to signify swellings of glands: φύγεθλον, ""swelling",false,86,beck-fresh-fn-p0086-scratch-001,100,"n: Ebesus (Ibiza) and Ophiussa (Fementera). See Strabo, 3. 5. 1, where they are described.",weak,below footnote rule without a printed note label; previous page has an accepted bottom note
87,ocr/beck2020_fresh/images/beck-0087.png,155 2094 704 2100,34,112 2167 1403 2207,"of the glands, esp. of the groin and armpit; "" yoipóc, “scrofulous swelling of the",false,86,beck-fresh-fn-p0086-scratch-001,100,"n: Ebesus (Ibiza) and Ophiussa (Fementera). See Strabo, 3. 5. 1, where they are described.",weak,below footnote rule without a printed note label; previous page has an accepted bottom note
87,ocr/beck2020_fresh/images/beck-0087.png,155 2094 704 2100,35,113 2208 1404 2249,"glands of the neck, etc.,” φλεγμονὴ βουβώνων, “inflammation of groin [glands];""",false,86,beck-fresh-fn-p0086-scratch-001,100,"n: Ebesus (Ibiza) and Ophiussa (Fementera). See Strabo, 3. 5. 1, where they are described.",weak,below footnote rule without a printed note label; previous page has an accepted bottom note
87,ocr/beck2020_fresh/images/beck-0087.png,155 2094 704 2100,36,113 2251 682 2290,"παρῶτίς, “tumor of the parotid gland.”",false,86,beck-fresh-fn-p0086-scratch-001,100,"n: Ebesus (Ibiza) and Ophiussa (Fementera). See Strabo, 3. 5. 1, where they are described.",weak,below footnote rule without a printed note label; previous page has an accepted bottom note
89,ocr/beck2020_fresh/images/beck-0089.png,151 2074 667 2082,33,77 2094 1368 2150,"ΤΣ The instrument used is a μελωτίς, ""probe."" It often has a concavity at one end very",false,88,beck-fresh-fn-p0088-004,104,“That which is poured off.”,weak,below footnote rule without a printed note label; previous page has an accepted bottom note
89,ocr/beck2020_fresh/images/beck-0089.png,151 2074 667 2082,34,75 2146 1367 2187,much like a spoon. Tiny μελωτίδες were used for the removal of earwax and were,false,88,beck-fresh-fn-p0088-004,104,“That which is poured off.”,weak,below footnote rule without a printed note label; previous page has an accepted bottom note
89,ocr/beck2020_fresh/images/beck-0089.png,151 2074 667 2082,35,76 2190 849 2223,common articles associated with women's toiletries.,false,88,beck-fresh-fn-p0088-004,104,“That which is poured off.”,weak,below footnote rule without a printed note label; previous page has an accepted bottom note
89,ocr/beck2020_fresh/images/beck-0089.png,151 2074 667 2082,36,119 2229 644 2270,"Hair, here, is most likely eyelashes.",false,88,beck-fresh-fn-p0088-004,104,“That which is poured off.”,weak,below footnote rule without a printed note label; previous page has an accepted bottom note
91,ocr/beck2020_fresh/images/beck-0091.png,185 1998 692 2003,33,104 2020 1392 2068,"ΤΣ This is the Syrian cedar, κέδρος μεγάλη Juniperus excelsa L. as opposed to the",false,90,beck-fresh-fn-p0090-001,107,ces where ῥεῦμ- refers to ‘flow’ from those where it refers to ‘rheumatism of the joints.’,weak,below footnote rule without a printed note label; previous page has an accepted bottom note
91,ocr/beck2020_fresh/images/beck-0091.png,185 1998 692 2003,34,92 2071 661 2123,"κέδρος μικρά, Juniperus communis L.",false,90,beck-fresh-fn-p0090-001,107,ces where ῥεῦμ- refers to ‘flow’ from those where it refers to ‘rheumatism of the joints.’,weak,below footnote rule without a printed note label; previous page has an accepted bottom note
91,ocr/beck2020_fresh/images/beck-0091.png,185 1998 692 2003,36,112 2156 949 2195,. The medical term for infestation of lice is pediculosis.,false,90,beck-fresh-fn-p0090-001,107,ces where ῥεῦμ- refers to ‘flow’ from those where it refers to ‘rheumatism of the joints.’,weak,below footnote rule without a printed note label; previous page has an accepted bottom note
93,ocr/beck2020_fresh/images/beck-0093.png,117 1915 655 1921,28,68 1936 1353 1993,"""^ Dioscorides uses the following expressions relating to conception: cóAAn(u)yic,",false,92,beck-fresh-fn-p0092-scratch-001,113,"See Dsc. Bk. I, 72.",weak,below footnote rule without a printed note label; previous page has an accepted bottom note
93,ocr/beck2020_fresh/images/beck-0093.png,117 1915 655 1921,29,66 1986 1354 2039,"""conception, pregnancy;” ἀσυλληψία, “inability to conceive, barrenness;”",false,92,beck-fresh-fn-p0092-scratch-001,113,"See Dsc. Bk. I, 72.",weak,below footnote rule without a printed note label; previous page has an accepted bottom note
93,ocr/beck2020_fresh/images/beck-0093.png,117 1915 655 1921,30,53 2027 1354 2076,"ἀσύλληπτος, “not conceiving, preventing conception;” ἀτόκιος, -ov, “causing",false,92,beck-fresh-fn-p0092-scratch-001,113,"See Dsc. Bk. I, 72.",weak,below footnote rule without a printed note label; previous page has an accepted bottom note
93,ocr/beck2020_fresh/images/beck-0093.png,117 1915 655 1921,31,65 2069 1355 2121,barrenness.” All definitions are from LSJ. I have followed them here and throughout,false,92,beck-fresh-fn-p0092-scratch-001,113,"See Dsc. Bk. I, 72.",weak,below footnote rule without a printed note label; previous page has an accepted bottom note
95,ocr/beck2020_fresh/images/beck-0095.png,182 2084 698 2090,36,149 2240 737 2279,Also “ducts” or “channels” in the body.,false,94,beck-fresh-fn-p0094-003,116,"""Wearing gold.""",weak,below footnote rule without a printed note label; previous page has an accepted bottom note
103,ocr/beck2020_fresh/images/beck-0103.png,206 2180 741 2186,36,152 2213 1440 2249,"πτερύγιον, an eye condition whereby a membrane grows over the eye from the",false,102,beck-fresh-fn-p0102-001,127,"See Dsc. Bk. I, 102 below.",weak,below footnote rule without a printed note label; previous page has an accepted bottom note; continuation begins lowercase
105,ocr/beck2020_fresh/images/beck-0105.png,154 1742 659 1748,27,72 1765 1357 1813,"» ἄγνος; ""pure"" or “chaste,” λύγος, akin to λυγίζω, “bend” or “twist” as one does",false,104,beck-fresh-fn-p0104-001,129,"ς, chameleon-thistle, Cardopatium corymbosum, in Dsc. Bk., III, 9; he also calls it ἰξίας.",weak,below footnote rule without a printed note label; previous page has an accepted bottom note
105,ocr/beck2020_fresh/images/beck-0105.png,154 1742 659 1748,28,97 1814 1358 1858,"_with a withe. Women used the shrub, as stated at the end of this chapter, symbolically",false,104,beck-fresh-fn-p0104-001,129,"ς, chameleon-thistle, Cardopatium corymbosum, in Dsc. Bk., III, 9; he also calls it ἰξίας.",weak,below footnote rule without a printed note label; previous page has an accepted bottom note
105,ocr/beck2020_fresh/images/beck-0105.png,154 1742 659 1748,29,70 1856 1362 1894,"during the Thesmophoria, a festival in Athens and elsewhere in Greece in honor of",false,104,beck-fresh-fn-p0104-001,129,"ς, chameleon-thistle, Cardopatium corymbosum, in Dsc. Bk., III, 9; he also calls it ἰξίας.",weak,below footnote rule without a printed note label; previous page has an accepted bottom note
105,ocr/beck2020_fresh/images/beck-0105.png,154 1742 659 1748,30,37 1894 647 1936,__ Demeter thesmophoros (the law-giver).,false,104,beck-fresh-fn-p0104-001,129,"ς, chameleon-thistle, Cardopatium corymbosum, in Dsc. Bk., III, 9; he also calls it ἰξίας.",weak,below footnote rule without a printed note label; previous page has an accepted bottom note
115,ocr/beck2020_fresh/images/beck-0115.png,196 2074 721 2081,34,107 2097 803 2165,᾿ * These are quinces preserved raw in honey.,false,114,beck-fresh-fn-p0114-scratch-001,139,"ree” but the discussion that follows is about μῆλα, “apples” (the fruit) or “tree-fruits.”",weak,below footnote rule without a printed note label; previous page has an accepted bottom note
115,ocr/beck2020_fresh/images/beck-0115.png,196 2074 721 2081,35,114 2148 1417 2186,". - These are “rose apples,"" orbiclata, from Lat. orbiculata sc. mala, rounded apples.",false,114,beck-fresh-fn-p0114-scratch-001,139,"ree” but the discussion that follows is about μῆλα, “apples” (the fruit) or “tree-fruits.”",weak,below footnote rule without a printed note label; previous page has an accepted bottom note
115,ocr/beck2020_fresh/images/beck-0115.png,196 2074 721 2081,36,104 2188 1419 2229,"_ Pliny, N. H., XV, 51 says that they are called Epeirotica from Epirus where they were",false,114,beck-fresh-fn-p0114-scratch-001,139,"ree” but the discussion that follows is about μῆλα, “apples” (the fruit) or “tree-fruits.”",weak,below footnote rule without a printed note label; previous page has an accepted bottom note
117,ocr/beck2020_fresh/images/beck-0117.png,204 2074 739 2079,30,153 2098 1439 2145,“Tree” is used with “nettle” and in the next chapter with “medlar” to distinguish,false,116,beck-fresh-fn-p0116-002,143,“Citrons.”,weak,below footnote rule without a printed note label; previous page has an accepted bottom note
117,ocr/beck2020_fresh/images/beck-0117.png,204 2074 739 2079,31,150 2146 726 2198,them from non-trees of the same name.,false,116,beck-fresh-fn-p0116-002,143,“Citrons.”,weak,below footnote rule without a printed note label; previous page has an accepted bottom note
117,ocr/beck2020_fresh/images/beck-0117.png,204 2074 739 2079,33,193 2230 1336 2270,Also known as serviceberries and the tree that produces them as service tree.,false,116,beck-fresh-fn-p0116-002,143,“Citrons.”,weak,below footnote rule without a printed note label; previous page has an accepted bottom note
121,ocr/beck2020_fresh/images/beck-0121.png,183 2171 753 2176,35,134 2192 940 2253,"m μι Deriving from σῦκον, “fig” and popóv, “insipid.”",false,120,beck-fresh-fn-p0120-scratch-001,149,"See Dsc. Bk. V, 106.",weak,below footnote rule without a printed note label; previous page has an accepted bottom note; continuation begins lowercase
121,ocr/beck2020_fresh/images/beck-0121.png,183 2171 753 2176,36,174 2236 1387 2284,"> As opposed to the ripe ones but tough, from which the dried figs are processed.",false,120,beck-fresh-fn-p0120-scratch-001,149,"See Dsc. Bk. V, 106.",weak,below footnote rule without a printed note label; previous page has an accepted bottom note; continuation begins lowercase
123,ocr/beck2020_fresh/images/beck-0123.png,148 2067 700 2072,34,113 2089 1005 2134,"p. λεύκη, a cutaneous disease so called from its white color.",false,122,beck-fresh-fn-p0122-003,152,That is the juice drawn from the fig trees by tapping and used as rennet.,weak,below footnote rule without a printed note label; previous page has an accepted bottom note; continuation begins lowercase
123,ocr/beck2020_fresh/images/beck-0123.png,148 2067 700 2072,35,75 2132 1399 2180,.—. P^ IST describes κηρίον = μελικηρίς as “cyst” or “wen.” Here and throughout this,false,122,beck-fresh-fn-p0122-003,152,That is the juice drawn from the fig trees by tapping and used as rennet.,weak,below footnote rule without a printed note label; previous page has an accepted bottom note; continuation begins lowercase
123,ocr/beck2020_fresh/images/beck-0123.png,148 2067 700 2072,36,74 2185 1399 2222,"__ translation I shall translate these words as impetigo contagiosa following Aufmesser,",false,122,beck-fresh-fn-p0122-003,152,That is the juice drawn from the fig trees by tapping and used as rennet.,weak,below footnote rule without a printed note label; previous page has an accepted bottom note; continuation begins lowercase
124,ocr/beck2020_fresh/images/beck-0124.png,180 2167 782 2171,15,184 2191 1483 2235,"'SS Apparently Persea was confused with Sodanum sodomeum, Goodyer, The Greek",false,123,beck-fresh-fn-p0123-scratch-002,154,"anslate these words as impetigo contagiosa following Aufmesser, Erläuterungen s.v. κηρίον.",weak,below footnote rule without a printed note label; previous page has an accepted bottom note
124,ocr/beck2020_fresh/images/beck-0124.png,180 2167 782 2171,16,179 2240 691 2275,"Herbal of Dioscorides, p. 92, n. 1.",false,123,beck-fresh-fn-p0123-scratch-002,154,"anslate these words as impetigo contagiosa following Aufmesser, Erläuterungen s.v. κηρίον.",weak,below footnote rule without a printed note label; previous page has an accepted bottom note
